"Which goal of sustainable development is related to eradicating poverty?","SDG 1","SDG 3","SDG 5","SDG 8"
"What type of pollution leads to acid rain?","Air Pollution","Water Pollution","Noise Pollution","Thermal Pollution"
"The term 'green economy' emphasizes what goal?","Environmentally sustainable economic growth","Rapid industrialization","High GDP","Privatization"
"Which SDG focuses on affordable and clean energy?","SDG 7","SDG 5","SDG 3","SDG 16"
"What is the main objective of the Kyoto Protocol?","Reduce greenhouse gas emissions","Protect biodiversity","Improve sanitation","Fund renewable energy"
"Which global organization adopted the SDGs in 2015?","United Nations","World Bank","IMF","World Health Organization"
"What is the main threat to biodiversity?","Habitat Destruction","Overpopulation","Cultural Loss","Urbanization only"
"Which goal focuses on Life Below Water?","SDG 14","SDG 15","SDG 13","SDG 10"
"What is the main objective of environmental ethics?","Promote moral responsibility toward nature","Regulate trade","Promote economic growth","Encourage urbanization"
"Which form of energy is considered renewable?","Solar","Coal","Natural Gas","Oil"
"The phrase 'Our Common Future' refers to?","The Brundtland Report","The Paris Agreement","Stockholm Declaration","Agenda 21"
"Which goal focuses on peace and strong institutions?","SDG 16","SDG 11","SDG 9","SDG 3"
"What is the main purpose of Agenda 21?","Promote sustainable development","Reduce global taxes","Ban plastic use","End nuclear energy"
"Which gas has the greatest global warming potential (GWP)?","Nitrous Oxide","Carbon Dioxide","Oxygen","Ozone"
"What does carbon sequestration refer to?","Capturing and storing carbon dioxide","Measuring carbon emissions","Producing fossil fuels","Burning biomass"
"Which goal focuses on gender equality?","SDG 5","SDG 6","SDG 10","SDG 8"
"Which goal targets sustainable cities and communities?","SDG 11","SDG 3","SDG 16","SDG 14"
"What is the term for the loss of fertile land due to overuse and deforestation?","Desertification","Urbanization","Depletion","Deforestation"
"Which goal focuses on quality education?","SDG 4","SDG 1","SDG 5","SDG 7"
"Which is the largest source of global energy today?","Fossil fuels","Wind energy","Solar power","Hydroelectric"
"What is the aim of environmental sustainability?","Maintain natural resources for future generations","Maximize resource use","Expand urban growth","Increase industrial profit"
"Which concept promotes using resources efficiently and recycling waste?","Circular Economy","Linear Economy","Green Revolution","Globalization"
"Which goal addresses zero hunger?","SDG 2","SDG 3","SDG 5","SDG 9"
"Which goal addresses good health and well-being?","SDG 3","SDG 2","SDG 4","SDG 12"
"Which goal addresses industry innovation and infrastructure?","SDG 9","SDG 7","SDG 13","SDG 5"
"Which goal promotes partnership for achieving goals?","SDG 17","SDG 15","SDG 13","SDG 11"
"What is the main goal of environmental education?","Raise awareness of ecological issues","Promote consumerism","Encourage industrial growth","Increase urban expansion"
"Which goal emphasizes sustainable use of oceans and marine resources?","SDG 14","SDG 12","SDG 7","SDG 6"
"The term 'biodiversity' refers to?","Variety of life on Earth","Types of minerals","Climate patterns","Water distribution"
"Which gas is most abundant in the Earth’s atmosphere?","Nitrogen","Carbon Dioxide","Oxygen","Methane"
"What is the main purpose of the UNEP (United Nations Environment Programme)?","Coordinate global environmental activities","Promote military cooperation","Control global trade","Monitor space activities"
"Which concept explains resource use must not exceed natural regeneration?","Carrying Capacity","Industrial Growth","Sustainable Taxation","Circular Trade"
"Which is an example of renewable resource?","Wind","Coal","Oil","Natural Gas"
"Which goal promotes decent work and economic growth?","SDG 8","SDG 4","SDG 10","SDG 2"
"What does carbon neutral mean?","Balancing emitted and absorbed carbon","Using more fossil fuels","Eliminating oxygen","Doubling production"
"What is the main objective of environmental justice?","Ensure fair distribution of environmental benefits","Punish polluters","Ban factories","Limit population growth"
"What is the purpose of the 'polluter pays principle'?","Hold polluters financially accountable","Encourage tax cuts","Reduce exports","Promote consumption"
"Which goal focuses on poverty eradication?","SDG 1","SDG 4","SDG 9","SDG 6"
"What does 'sustainability reporting' refer to?","Disclosing environmental and social impacts","Corporate profit statements","Government budgets","Product prices"
"Which energy source produces zero carbon emissions during use?","Wind","Coal","Diesel","Natural Gas"
"Which global summit produced the Paris Agreement?","COP 21","Rio Earth Summit","Stockholm Conference","Kyoto Summit"
"Which goal targets sustainable consumption and production patterns?","SDG 12","SDG 13","SDG 15","SDG 16"
"What is the main cause of ozone depletion?","CFCs","Carbon Dioxide","Methane","Nitrogen"
"Which goal promotes peaceful and inclusive societies?","SDG 16","SDG 5","SDG 7","SDG 14"
"What does the term 'ecological footprint' measure?","Human impact on Earth’s resources","Climate variability","Natural disasters","Economic inequality"
"What does the UN’s SDG 13 promote?","Climate Action","Zero Hunger","Quality Education","Clean Energy"
"Which goal focuses on reducing inequality within countries?","SDG 10","SDG 5","SDG 11","SDG 9"
"Which global agreement focused on reducing greenhouse emissions from developed countries?","Kyoto Protocol","Paris Agreement","Rio Summit","Stockholm Declaration"
