"question", "correct_answer", "choice1", "choice2", "choice3"
"What type of risk is related to poor estimation?", "Planning risk", "External risk", "Schedule risk", "Procurement risk"
"Why do organizations use project management software?", "To improve tracking and coordination", "To replace all human effort", "To reduce quality", "To slow down execution"
"What is a project baseline?", "The approved version of scope schedule and cost", "The original idea", "The end goal", "The risk backup plan"
"What causes scope creep?", "Uncontrolled changes to project scope", "Strict scope adherence", "Reducing tasks", "Using templates"
"In which phase is the business case developed?", "Initiation", "Planning", "Execution", "Closure"
"Which project document records the business need and justification?", "Business case", "Scope statement", "Work plan", "WBS"
"Which knowledge area includes stakeholder identification?", "Communication management", "Cost management", "Time management", "Scope management"
"What does the acronym PMBOK® stand for?", "Project Management Body of Knowledge", "Project Methodology Book of Knowledge", "Practical Management Book of Knowledge", "Planning Management Book of Knowledge"
"What is a milestone?", "A significant event in the project", "A weekly report", "A late task", "A small deliverable"
"Which component is NOT part of the triple constraint?", "Risk", "Time", "Cost", "Scope"
"Who defines the project success criteria?", "Customer and stakeholders", "Project manager", "Functional manager", "Developers"
"Which phase involves analyzing risk responses?", "Monitoring and controlling", "Execution", "Initiation", "Closure"
"What is rolling wave planning?", "Planning in phases as more information becomes available", "Finalizing all tasks at once", "Planning backward", "Skipping planning phase"
"Which of the following tools helps visualize the project timeline?", "Gantt chart", "WBS", "Resource calendar", "Work schedule"
"Which knowledge area includes developing the team and managing conflict?", "Human resource management", "Scope management", "Risk management", "Integration management"
