question,correct_answer,choice1,choice2,choice3
"The process of monitoring identified risks and evaluating effectiveness of responses is:","Control Risks","Identify Risks","Perform Quantitative Risk Analysis","Plan Risk Responses"
"A risk trigger is:","An event that causes a risk to occur","A secondary risk","The probability value of a risk","A mitigation plan"
"A Monte Carlo simulation is commonly used in:","Quantitative Risk Analysis","Qualitative Risk Analysis","Plan Risk Responses","Control Risks"
"Sensitivity analysis is used to:","Identify the risk with the greatest potential impact","Rank risks by urgency","Detect residual risks","Compare risk tolerance"
"Expected Monetary Value (EMV) analysis is based on:","Decision Tree Analysis","Schedule variance","Cost performance index","Benchmarking"
"A risk audit is conducted to:","Ensure the risk process is being followed","Identify new risks","Assign responsibilities","Assess cost performance"
"What is the main purpose of risk management planning?","Establish the approach, tools, and data sources for managing risk","Identify new project risks","Quantify project risk exposure","Monitor risk triggers"
"Risk tolerance refers to:","The degree of uncertainty an organization is willing to accept","The stakeholder’s communication style","The project manager’s leadership style","The level of technical risk"
"Brainstorming is best used during which risk management process?","Identify Risks","Plan Risk Responses","Control Risks","Perform Risk Analysis"
"The Perform Qualitative Risk Analysis process assesses:","The likelihood and impact of identified risks","The financial impact of risks","The schedule delays caused by risks","The total project risk exposure"
"A watch list is used to track:","Low-priority risks","High-priority risks","Resolved risks","Closed risks"
"Which of the following statements about risk management is TRUE?","Risk management is iterative and continuous throughout the project","Risk management is a one-time activity","Risk management only applies to large projects","Risk management is performed only by the project manager"
"A risk owner is responsible for:","Monitoring and managing a specific risk","Funding the project","Preparing the WBS","Approving the project charter"
"Which document contains identified risks, potential responses, and root causes?","Risk Register","Risk Management Plan","Issue Log","Quality Management Plan"
"The process that determines actions to enhance opportunities and reduce threats is:","Plan Risk Responses","Perform Risk Analysis","Control Risks","Identify Risks"
"Which is a common output of the Control Risks process?","Risk Register updates","Project Charter","Activity List","Project Schedule"
