question,correct_answer,choice1,choice2,choice3
"Which document formally recognizes the existence of a project?","Project Charter","Stakeholder Register","Project Plan","Work Authorization"
"Which communication type is best for sensitive information?","Face-to-face","Email","Newsletter","Bulletin board"
"Which is the most complex type of communication network?","All-channel","Wheel","Chain","Circle"
"Which communication method reduces the risk of misinterpretation the most?","Interactive","Push","Pull","Noise"
"Which is not a typical barrier to communication?","Efficient feedback","Cultural differences","Language","Time zones"
"The HRM plan is an output of which process?","Plan Human Resource Management","Develop Project Team","Acquire Project Team","Manage Project Team"
"Which motivational theory distinguishes between Theory X and Theory Y?","McGregor","Maslow","Herzberg","Alderfer"
"A major benefit of team development activities is?","Improved project performance","Higher project costs","Reduced communication","Lower morale"
"Which document identifies individuals and groups involved in a project?","Stakeholder Register","WBS","RACI chart","Risk Register"
"Which communication method is passive and depends on the recipient seeking information?","Pull","Push","Interactive","Feedback"
"Which process involves distributing project information to stakeholders?","Manage Communications","Plan Communications","Control Communications","Monitor Stakeholders"
"Which tool is used to visualize communication complexity?","Number of Communication Channels Formula","Stakeholder Register","RACI chart","Work Breakdown Structure"
"Which type of communication is fastest for urgent issues?","Interactive","Pull","Push","Formal reports"
"Which conflict resolution technique avoids the issue entirely?","Withdrawing","Collaborating","Forcing","Compromising"
"Team performance assessments are outputs of which process?","Develop Project Team","Acquire Project Team","Plan HRM","Control Communications"
"Herzberg considered recognition as?","Motivator","Hygiene factor","Extrinsic factor","Neutral factor"
"Maslow’s level that includes job security is?","Safety needs","Physiological needs","Esteem needs","Self-actualization"
"Communication noise can occur when?","A message is misunderstood","Information is clearly delivered","Language is shared","Feedback is immediate"
"Which process ensures stakeholders receive timely project information?","Manage Communications","Plan Communications","Control Communications","Acquire Team"
"The HRM plan includes?","Roles and responsibilities","Financial statements","Procurement contracts","Product design"
"Which theory is focused on intrinsic and extrinsic motivators?","Herzberg’s Two-Factor Theory","Maslow’s Hierarchy","McGregor’s Theory X/Y","Expectancy Theory"
"In conflict resolution, win-lose outcome usually comes from?","Forcing","Collaborating","Compromising","Smoothing"
"Which chart shows hierarchy and reporting lines?","Organizational Chart","Pareto Chart","Scatter Plot","Fishbone Diagram"
"Stakeholder communication preferences are documented in?","Communications Management Plan","Risk Register","HRM Plan","Issue Log"
"Interactive communication example is?","Video conference","Email newsletter","Intranet site","Bulletin board"
"Which communication type is least reliable for urgent matters?","Pull","Interactive","Push","Face-to-face"
"Who is accountable in a RACI chart?","The person answerable for the outcome","The person informed","The person consulted","The whole team"
"Which HRM process may require negotiation for staff?","Acquire Project Team","Develop Project Team","Manage Project Team","Plan HRM"
"McGregor’s Theory X assumes people dislike work.","True"
"Motivators in Herzberg’s theory contribute to job satisfaction.","True"
"Withdrawing from conflict always resolves it permanently.","False"
"Noise can be both physical and psychological.","True"
"A key output of Manage Communications is project communications.","True"
"Which method allows documents to be accessed at stakeholder convenience?","Pull","Push","Interactive","Formal writing"
"Which process tracks and monitors communication throughout the project?","Control Communications","Plan Communications","Manage Communications","Monitor Stakeholders"
"Which factor is not part of Maslow’s hierarchy?","Technology","Safety","Esteem","Physiological"
"Herzberg’s theory separates factors into?","Hygiene and Motivators","Safety and Esteem","Intrinsic and Extrinsic","Needs and Wants"
"Which HRM process helps resolve interpersonal issues?","Manage Project Team","Acquire Project Team","Plan HRM","Develop Schedule"
"What is the key output of Plan HRM?","HR Management Plan","Issue Log","Risk Register","Change Request"
"Which communication method uses newsletters and memos?","Push","Pull","Interactive","Noise"
"Which conflict resolution style is win-win?","Collaborating","Forcing","Withdrawing","Compromising"
"An example of formal communication is?","Signed contract","Instant messaging","Phone call","Casual talk"
"Who ensures the communication plan is followed?","Project Manager","Team Members","Stakeholders","Customers"
"Effective communication in projects leads to?","Stakeholder satisfaction","Lower trust","Conflict","Reduced morale"
"Motivation theories are important because?","They improve team performance","They reduce HR planning","They eliminate communication","They stop project delays"
"Interactive communication requires feedback from receivers.","True"
"Push communication delivers information without expecting feedback.","True"
"Pull communication requires the receiver to retrieve the information.","True"
"RACI stands for Responsible Accountable Consulted Informed.","True"
"Formal written communication is suitable for legal matters.","True"
